gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,id_student,address,Year,Age
male,group D,some college,free/reduced,none,43,68,58,1336,,2023,14.0
female,group E,high school,free/reduced,none,45,46,49,1337,,1990,15.0
female,group C,associate's degree,standard,none,58,68,62,1338,,2023,14.0
female,group A,high school,standard,completed,70,73,80,1339,,2023,15.0
female,group E,some high school,standard,none,60,30,58,1340,,2023,17.0
male,group C,some high school,free/reduced,none,52,26,47,1341,,2023,16.0
male,group C,associate's degree,free/reduced,none,61,62,54,1342,,2023,15.0
female,group D,some high school,standard,none,55,35,61,1343,,2023,17.0
male,group B,high school,standard,completed,80,80,79,1344,,2023,15.0
male,group D,some college,free/reduced,none,63,60,54,1345,,2023,16.0
female,group B,master's degree,standard,none,79,79,100,1346,,1990,17.0
male,group A,associate's degree,standard,none,74,78,72,1347,,2023,17.0
female,group B,some college,free/reduced,completed,46,58,64,1348,,2023,16.0
female,group B,some high school,standard,completed,72,88,100,1349,,2023,14.0
female,group E,some high school,free/reduced,none,58,32,64,1350,,2023,
female,group E,master's degree,standard,none,47,50,47,1351,,2023,15.0
female,group D,bachelor's degree,standard,completed,68,78,100,1352,,2023,17.0
male,group D,bachelor's degree,free/reduced,completed,68,71,67,1353,,2023,16.0
female,group D,high school,standard,none,65,75,68,1354,,2023,14.0
female,group B,associate's degree,standard,none,50,54,51,1355,,2023,
female,group B,high school,free/reduced,completed,48,71,68,1356,,2023,15.0
female,group B,bachelor's degree,standard,none,58,60,64,1357,,2023,17.0
male,group C,some high school,free/reduced,completed,71,74,68,1358,,2023,
male,group D,some high school,free/reduced,completed,58,52,48,1359,,2023,14.0
female,group A,some college,free/reduced,none,66,90,100,1360,,2023,14.0
male,group C,some college,free/reduced,none,44,53,43,1361,,2023,15.0
female,group B,some high school,standard,completed,51,63,66,1362,,2023,16.0
male,group A,some college,standard,completed,78,83,77,1363,,2023,15.0
male,group C,high school,standard,none,72,71,65,1364,,2023,16.0
female,group D,associate's degree,standard,none,60,64,67,1365,,2023,16.0
female,group C,associate's degree,free/reduced,none,55,61,60,1366,,2023,15.0
male,group B,some high school,standard,none,64,33,64,1367,,2023,16.0
female,group C,some high school,free/reduced,none,57,32,60,1368,,2023,17.0
female,group A,high school,standard,none,70,75,74,1369,,2023,17.0
male,group D,some high school,standard,completed,84,72,76,1370,,2023,14.0
female,group B,some college,standard,completed,66,71,76,1371,,2023,16.0
female,group C,bachelor's degree,free/reduced,completed,56,65,73,1372,,1990,16.0
male,group E,some college,free/reduced,completed,59,53,56,1373,,2023,14.0
female,group E,bachelor's degree,standard,none,87,89,100,1374,,2023,14.0
male,group E,high school,free/reduced,none,73,75,64,1375,,2023,17.0
female,group A,high school,standard,none,85,91,100,1376,,2023,17.0
male,group B,some college,free/reduced,none,49,54,42,1377,,2023,17.0
female,group C,bachelor's degree,standard,completed,82,87,100,1378,,2023,17.0
female,group D,some college,standard,none,80,90,100,1379,,2023,16.0
female,group E,high school,standard,none,48,51,43,1380,,2023,16.0
female,group D,high school,standard,completed,85,83,100,1381,,1990,14.0
female,group E,some high school,standard,completed,70,78,76,1382,,2023,15.0
male,group E,associate's degree,standard,completed,89,84,100,1383,,2023,15.0
female,group D,high school,standard,completed,72,86,79,1384,,2023,15.0
female,group D,some high school,free/reduced,none,80,43,100,1385,,1990,14.0
female,group D,some high school,free/reduced,none,43,28,50,1386,,2023,17.0
male,group C,some high school,free/reduced,completed,54,61,61,1387,,2023,17.0
male,group A,associate's degree,free/reduced,completed,82,82,78,1388,,1990,16.0
male,group C,bachelor's degree,free/reduced,none,74,80,78,1389,,2023,17.0
female,group C,some college,standard,none,63,62,64,1390,,2023,16.0
female,group C,high school,free/reduced,none,47,56,51,1391,,2023,17.0
female,group C,some college,free/reduced,none,13,29,23,1392,,2023,17.0
male,group D,some college,free/reduced,none,67,58,56,1393,,2023,17.0
male,group C,some high school,standard,none,57,29,54,1394,,2023,14.0
female,group B,some high school,standard,none,64,39,100,1395,,2023,15.0
female,group D,associate's degree,standard,none,85,100,100,1396,,2023,16.0
female,group B,associate's degree,standard,completed,70,80,100,1397,,1990,16.0
male,group B,bachelor's degree,standard,completed,90,73,100,1398,,2023,17.0
female,group A,some college,free/reduced,completed,53,70,69,1399,,2023,16.0
male,group C,some college,standard,completed,74,73,75,1400,,2023,16.0
male,group A,associate's degree,standard,completed,61,71,67,1401,,2023,16.0
female,group C,some high school,standard,completed,55,74,73,1402,,2023,14.0
female,group B,some college,standard,completed,65,63,66,1403,,2023,14.0
female,group A,high school,standard,none,77,77,79,1404,,2023,17.0
male,group C,associate's degree,standard,none,74,61,56,1405,,2023,15.0
male,group D,some college,standard,none,94,92,100,1406,,2023,14.0
female,group B,associate's degree,standard,completed,54,64,68,1407,,2023,
male,group A,high school,standard,none,52,49,43,1408,,2023,16.0
male,group D,some college,standard,none,73,75,71,1409,,2023,17.0
male,group C,high school,standard,none,81,72,58,1410,,2023,14.0
female,group B,bachelor's degree,free/reduced,none,62,75,72,1411,,2023,14.0
female,group C,master's degree,free/reduced,none,55,60,61,1412,,2023,14.0
male,group C,some high school,free/reduced,completed,55,61,61,1413,,2023,17.0
female,group D,some high school,standard,none,61,31,61,1414,,2023,16.0
male,group E,high school,standard,none,75,70,64,1415,,2023,15.0
male,group E,some college,free/reduced,none,79,65,59,1416,,2023,14.0
female,group C,some high school,standard,none,70,35,68,1417,,2023,15.0
male,group A,some college,standard,none,72,65,59,1418,,2023,14.0
female,group C,some high school,free/reduced,none,38,23,33,1419,,2023,15.0
female,group A,bachelor's degree,standard,none,57,71,63,1420,,1990,14.0
male,group D,some high school,standard,none,76,35,70,1421,,2023,15.0
male,group C,some college,free/reduced,none,45,45,38,1422,,2023,15.0
male,group D,associate's degree,standard,none,77,73,74,1423,,2023,17.0
male,group C,high school,standard,none,40,39,30,1424,,2023,17.0
female,group E,some college,standard,none,78,83,78,1425,,1990,15.0
female,group A,master's degree,free/reduced,none,63,65,66,1426,,2023,15.0
male,group C,associate's degree,standard,none,83,70,73,1427,,2023,16.0
male,group C,associate's degree,free/reduced,none,55,52,47,1428,,2023,14.0
male,group B,some college,standard,completed,88,78,76,1429,,2023,15.0
male,group C,bachelor's degree,standard,none,82,83,100,1430,,2023,17.0
male,group E,bachelor's degree,standard,none,86,71,71,1431,,2023,15.0
female,group C,associate's degree,free/reduced,none,61,74,72,1432,,2023,16.0
female,group D,some college,standard,completed,78,85,100,1433,,2023,17.0
male,group C,associate's degree,standard,none,67,63,66,1434,,2023,16.0
female,group E,some high school,standard,none,83,43,100,1435,,2023,16.0
male,group C,some high school,standard,none,68,37,69,1436,,2023,16.0
male,group C,some college,standard,none,53,52,44,1437,,2023,14.0
male,group D,associate's degree,standard,none,91,88,100,1438,,2023,16.0
male,group B,associate's degree,free/reduced,none,67,66,66,1439,,2023,14.0
female,group C,high school,standard,completed,53,64,62,1440,,2023,16.0
female,group C,master's degree,standard,completed,86,100,100,1441,,2023,14.0
male,group E,some high school,free/reduced,completed,75,70,61,1442,,2023,16.0
male,group C,some college,standard,none,55,38,35,1443,,2023,
male,group D,bachelor's degree,standard,completed,93,86,100,1444,,2023,16.0
female,group E,high school,standard,none,62,71,66,1445,,2023,16.0
male,group C,some college,free/reduced,none,83,76,71,1446,,2023,14.0
male,group D,some high school,standard,none,73,36,64,1447,,2023,14.0
female,group C,high school,free/reduced,none,57,52,53,1448,,2023,15.0
female,group C,some college,standard,none,70,75,75,1449,,2023,14.0
female,group B,high school,standard,completed,55,62,64,1450,,2023,15.0
male,group C,high school,standard,none,65,56,51,1451,,2023,15.0
female,group C,some high school,standard,completed,76,85,100,1452,,2023,17.0
male,group C,master's degree,free/reduced,none,59,47,46,1453,,2023,17.0
male,group C,associate's degree,standard,completed,74,73,77,1454,,2023,14.0
male,group B,some high school,standard,none,65,29,60,1455,,2023,
male,group B,some college,standard,completed,89,87,100,1456,,2023,15.0
female,group B,master's degree,standard,none,71,82,100,1457,,2023,14.0
male,group C,some college,free/reduced,completed,63,69,59,1458,,2023,16.0
male,group C,some high school,standard,completed,57,55,60,1459,,2023,16.0
male,group B,some college,free/reduced,completed,56,67,56,1460,,2023,17.0
male,group A,some high school,free/reduced,completed,49,44,41,1461,,2023,17.0
female,group C,some college,free/reduced,completed,28,44,50,1462,,2023,17.0
female,group C,bachelor's degree,free/reduced,none,69,73,71,1463,,2023,17.0
female,group D,some high school,free/reduced,none,49,31,60,1464,,2023,14.0
male,group B,some high school,standard,completed,67,62,58,1465,,2023,15.0
female,group B,some college,free/reduced,completed,74,85,100,1466,,2023,17.0
female,group C,bachelor's degree,standard,completed,47,67,63,1467,,2023,15.0
female,group C,some college,standard,none,63,63,69,1468,,1990,17.0
male,group C,some college,standard,none,73,51,53,1469,,2023,14.0
female,group D,some college,standard,none,91,94,100,1470,,2023,17.0
male,group B,some college,standard,none,80,87,79,1471,,2023,17.0
female,group C,associate's degree,standard,none,66,73,68,1472,,2023,17.0
male,group B,some college,standard,none,52,48,43,1473,,2023,17.0
female,group B,some college,standard,none,65,71,65,1474,,2023,14.0
male,group D,some college,standard,completed,83,75,71,1475,,2023,16.0
female,group C,some high school,free/reduced,none,80,42,78,1476,,2023,17.0
male,group E,bachelor's degree,free/reduced,none,68,68,59,1477,,2023,14.0
male,group C,some college,free/reduced,completed,68,73,68,1478,,2023,
male,group C,associate's degree,free/reduced,none,62,43,45,1479,,2023,16.0
female,group B,some high school,standard,none,76,44,100,1480,,2023,16.0
female,group C,bachelor's degree,free/reduced,none,77,79,100,1481,,2023,16.0
female,group E,master's degree,free/reduced,none,83,81,100,1482,,2023,15.0
female,group C,some college,free/reduced,none,71,78,100,1483,,1990,14.0
male,group D,some college,free/reduced,completed,86,91,100,1484,,2023,16.0
male,group B,master's degree,standard,none,93,96,100,1485,,2023,17.0
female,group B,associate's degree,free/reduced,none,60,64,60,1486,,2023,14.0
female,group D,some high school,standard,none,57,28,58,1487,,2023,14.0
male,group C,bachelor's degree,standard,none,84,79,74,1488,,2023,16.0
female,group D,bachelor's degree,standard,none,66,71,75,1489,,2023,14.0
male,group D,master's degree,standard,none,85,69,74,1490,,1990,15.0
female,group D,master's degree,standard,completed,57,68,76,1491,,2023,17.0
female,group C,some high school,standard,none,41,24,49,1492,,2023,16.0
female,group C,some high school,standard,none,75,38,76,1493,,2023,15.0
male,group D,high school,free/reduced,none,65,63,60,1494,,2023,15.0
male,group E,some college,standard,none,78,65,60,1495,,2023,15.0
female,group B,some high school,free/reduced,none,26,17,28,1496,,2023,17.0
male,group E,some college,free/reduced,none,71,64,66,1497,,2023,17.0
male,group B,bachelor's degree,standard,completed,86,92,100,1498,,2023,15.0
male,group B,associate's degree,standard,completed,89,84,100,1499,,1990,16.0
female,group B,high school,free/reduced,none,53,64,63,1500,,2023,
female,group C,associate's degree,standard,none,87,87,100,1501,,2023,14.0
male,group D,associate's degree,standard,none,71,57,59,1502,,2023,17.0
male,group D,high school,standard,none,77,80,72,1503,,2023,16.0
female,group C,high school,free/reduced,completed,43,48,53,1504,,2023,
female,group C,associate's degree,standard,none,88,91,100,1505,,2023,14.0
male,group E,some high school,standard,none,86,38,63,1506,,2023,14.0
female,group E,some high school,free/reduced,completed,45,56,55,1507,,2023,14.0
male,group C,some college,standard,none,69,56,57,1508,,2023,17.0
female,group D,high school,standard,none,65,70,72,1509,,2023,
male,group E,some college,free/reduced,none,81,79,71,1510,,2023,14.0
female,group A,some high school,standard,none,90,44,100,1511,,2023,15.0
female,group E,associate's degree,standard,none,78,72,71,1512,,2023,16.0
female,group C,master's degree,standard,completed,71,79,100,1513,,2023,16.0
female,group C,some high school,standard,none,75,40,72,1514,,2023,17.0
male,group C,bachelor's degree,free/reduced,none,70,60,56,1515,,2023,16.0
male,group B,associate's degree,standard,none,54,52,48,1516,,2023,15.0
male,group B,high school,standard,none,49,36,32,1517,,2023,16.0
male,group B,associate's degree,free/reduced,completed,80,82,100,1518,,2023,17.0
female,group E,bachelor's degree,standard,none,78,89,100,1519,,2023,14.0
male,group C,bachelor's degree,standard,none,89,77,100,1520,,2023,14.0
female,group C,bachelor's degree,standard,completed,65,83,100,1521,,2023,17.0
male,group D,associate's degree,standard,none,78,74,71,1522,,2023,14.0
female,group D,high school,standard,none,69,85,78,1523,,2023,17.0
male,group D,some college,free/reduced,none,49,47,48,1524,,2023,16.0
female,group D,master's degree,free/reduced,none,50,64,66,1525,,2023,14.0
female,group E,some college,standard,none,79,76,71,1526,,2023,15.0
female,group D,some college,standard,completed,89,92,100,1527,,2023,17.0
male,group A,associate's degree,free/reduced,completed,48,61,59,1528,,2023,14.0
female,group A,bachelor's degree,standard,none,63,67,71,1529,,2023,14.0
female,group C,some college,standard,none,88,100,100,1530,,2023,14.0
female,group D,associate's degree,standard,none,66,73,73,1531,,2023,15.0
female,group B,some college,free/reduced,none,45,59,56,1532,,2023,16.0
female,group E,some high school,standard,completed,62,78,73,1533,,2023,16.0
male,group D,some college,free/reduced,completed,74,80,100,1534,,2023,14.0
female,group D,bachelor's degree,free/reduced,none,82,87,100,1535,,2023,15.0
male,group E,some college,free/reduced,completed,83,63,63,1536,,2023,14.0
female,group D,some high school,free/reduced,completed,60,72,76,1537,,2023,15.0
female,group D,high school,standard,none,66,73,72,1538,,2023,14.0
male,group C,bachelor's degree,free/reduced,none,76,66,68,1539,,2023,16.0
male,group B,associate's degree,standard,completed,75,74,76,1540,,2023,16.0
male,group B,some college,standard,completed,77,72,79,1541,,2023,17.0
female,group E,some college,free/reduced,none,82,88,100,1542,,2023,16.0
male,group C,associate's degree,standard,completed,63,59,60,1543,,2023,14.0
female,group D,high school,standard,none,70,85,100,1544,,2023,15.0
male,group D,associate's degree,standard,completed,84,71,76,1545,,2023,17.0
male,group C,high school,standard,completed,68,60,63,1546,,2023,15.0
male,group C,some college,free/reduced,none,56,58,50,1547,,2023,14.0
female,group C,associate's degree,free/reduced,none,37,46,43,1548,,2023,
female,group D,some high school,standard,none,49,28,53,1549,,2023,14.0
female,group E,some college,standard,completed,100,100,100,1550,,2023,15.0
male,group D,some college,standard,none,83,68,65,1551,,2023,16.0
female,group E,master's degree,free/reduced,completed,92,100,100,1552,,2023,17.0
male,group E,master's degree,free/reduced,none,71,62,66,1553,,2023,16.0
male,group D,associate's degree,free/reduced,completed,72,76,73,1554,,2023,14.0
female,group D,bachelor's degree,free/reduced,none,37,53,48,1555,,2023,17.0
male,group C,bachelor's degree,free/reduced,none,35,43,35,1556,,2023,17.0
male,group C,some college,free/reduced,none,69,68,62,1557,,2023,17.0
female,group C,bachelor's degree,standard,none,65,73,100,1558,,2023,14.0
male,group E,high school,free/reduced,none,56,48,36,1559,,2023,16.0
female,group D,high school,standard,none,40,46,57,1560,,2023,17.0
female,group E,high school,standard,none,60,62,60,1561,,2023,
female,group C,some high school,standard,none,57,33,73,1562,,2023,15.0
female,group C,some high school,free/reduced,completed,58,62,66,1563,,2023,16.0
female,group D,some college,standard,completed,74,95,100,1564,,2023,14.0
female,group B,some college,standard,none,77,77,100,1565,,2023,17.0
male,group E,some college,free/reduced,none,66,57,53,1566,,2023,17.0
female,group D,some college,standard,completed,62,79,100,1567,,2023,14.0
male,group C,high school,free/reduced,none,29,38,27,1568,,2023,14.0
female,group B,some college,standard,none,70,73,66,1569,,2023,15.0
male,group A,associate's degree,free/reduced,none,67,64,60,1570,,2023,17.0
female,group C,high school,standard,completed,81,91,100,1571,,2023,16.0
male,group C,associate's degree,free/reduced,none,56,50,43,1572,,2023,14.0
female,group D,some college,free/reduced,none,61,79,76,1573,,2023,17.0
female,group D,high school,free/reduced,completed,47,54,56,1574,,2023,15.0
male,group A,bachelor's degree,standard,completed,88,87,100,1575,,2023,15.0
male,group C,some college,standard,completed,51,52,52,1576,,2023,14.0
male,group C,master's degree,standard,none,68,60,62,1577,,2023,15.0
female,group B,associate's degree,standard,none,68,71,71,1578,,2023,15.0
female,group B,high school,free/reduced,none,47,49,50,1579,,2023,
male,group E,master's degree,free/reduced,completed,84,77,100,1580,,2023,16.0
male,group B,some college,free/reduced,none,69,72,68,1581,,1990,17.0
female,group D,bachelor's degree,standard,completed,52,69,75,1582,,2023,14.0
male,group B,associate's degree,standard,none,80,79,79,1583,,2023,14.0
male,group C,bachelor's degree,standard,none,100,84,100,1584,,2023,
male,group C,high school,standard,completed,53,59,64,1585,,2023,14.0
female,group B,master's degree,standard,completed,59,73,74,1586,,2023,17.0
female,group B,some college,standard,none,78,96,100,1587,,1990,15.0
female,group B,associate's degree,standard,none,84,87,100,1588,,2023,14.0
female,group C,high school,free/reduced,none,52,72,71,1589,,2023,14.0
male,group C,associate's degree,free/reduced,none,81,78,75,1590,,2023,15.0
female,group C,associate's degree,standard,completed,90,95,100,1591,,1990,15.0
female,group A,high school,standard,none,63,73,66,1592,,2023,16.0
male,group D,bachelor's degree,standard,completed,100,97,100,1593,,1990,17.0
female,group B,some college,standard,none,56,63,62,1594,,2023,17.0
female,group B,some college,standard,none,46,54,54,1595,,2023,15.0
female,group B,high school,free/reduced,completed,75,85,100,1596,,2023,14.0
female,group A,some college,standard,none,46,51,54,1597,,2023,17.0
male,group A,some high school,free/reduced,none,42,20,40,1598,,2023,17.0
female,group C,some high school,standard,completed,77,86,100,1599,,2023,17.0
female,group C,some college,free/reduced,none,40,63,56,1600,,2023,15.0
female,group D,high school,standard,none,69,71,76,1601,,2023,15.0
male,group C,high school,standard,none,43,50,45,1602,,2023,15.0
female,group C,associate's degree,standard,completed,69,75,71,1603,,2023,15.0
female,group D,bachelor's degree,standard,completed,89,93,100,1604,,2023,16.0
male,group B,associate's degree,standard,none,44,34,36,1605,,2023,16.0
male,group D,high school,free/reduced,completed,82,83,77,1606,,2023,17.0
male,group D,associate's degree,free/reduced,none,72,72,65,1607,,2023,17.0
male,group C,bachelor's degree,standard,none,64,53,50,1608,,2023,15.0
male,group D,some high school,standard,none,89,36,70,1609,,2023,14.0
male,group E,associate's degree,free/reduced,none,58,53,54,1610,,2023,
female,group A,high school,standard,completed,63,81,78,1611,,2023,14.0
female,group A,bachelor's degree,standard,none,54,66,69,1612,,1990,17.0
male,group C,high school,free/reduced,completed,83,78,100,1613,,2023,17.0
female,group C,high school,standard,none,57,74,64,1614,,2023,14.0
female,group C,high school,standard,none,52,47,48,1615,,2023,14.0
female,group D,high school,standard,completed,75,93,100,1616,,2023,15.0
male,group E,high school,free/reduced,completed,67,66,64,1617,,2023,15.0
male,group B,some high school,standard,none,58,30,53,1618,,2023,16.0
female,group B,bachelor's degree,free/reduced,none,63,66,68,1619,,2023,17.0
female,group D,some high school,free/reduced,none,49,32,57,1620,,2023,16.0
female,group D,some college,free/reduced,none,38,47,52,1621,,2023,14.0
female,group B,some college,standard,completed,74,85,100,1622,,2023,15.0
male,group C,associate's degree,free/reduced,completed,69,84,100,1623,,2023,14.0
female,group D,associate's degree,standard,none,77,82,80,1624,,2023,15.0
female,group A,master's degree,free/reduced,none,40,59,59,1625,,2023,17.0
female,group B,master's degree,standard,completed,96,98,100,1626,,2023,17.0
female,group B,bachelor's degree,standard,none,85,86,100,1627,,2023,17.0
male,group D,associate's degree,standard,none,85,77,76,1628,,2023,17.0
male,group C,high school,standard,none,72,59,54,1629,,2023,17.0
female,group B,associate's degree,free/reduced,none,63,78,73,1630,,2023,16.0
male,group B,some high school,standard,none,58,33,58,1631,,2023,15.0
male,group B,bachelor's degree,free/reduced,none,58,64,54,1632,,2023,16.0
male,group C,high school,free/reduced,none,51,57,53,1633,,2023,15.0
female,group D,master's degree,standard,completed,100,100,100,1634,,2023,15.0
female,group D,master's degree,standard,none,77,84,100,1635,,2023,17.0
male,group E,bachelor's degree,free/reduced,none,63,56,56,1636,,2023,14.0
female,group C,some college,standard,none,64,67,68,1637,,2023,14.0
male,group E,high school,standard,none,100,82,80,1638,,2023,15.0
male,group C,associate's degree,standard,none,66,65,65,1639,,2023,16.0
male,group E,bachelor's degree,standard,none,87,87,100,1640,,2023,
male,group C,high school,standard,none,73,72,69,1641,,2023,15.0
male,group C,master's degree,free/reduced,completed,69,66,65,1642,,2023,14.0
female,group C,high school,standard,none,62,64,63,1643,,2023,17.0
female,group C,some high school,standard,none,40,24,49,1644,,2023,17.0
male,group C,some college,free/reduced,completed,55,68,60,1645,,2023,
male,group D,high school,standard,completed,77,77,78,1646,,2023,16.0
male,group D,some college,standard,completed,63,70,71,1647,,2023,17.0
male,group D,associate's degree,standard,completed,85,85,100,1648,,2023,16.0
female,group B,high school,free/reduced,none,30,43,40,1649,,2023,15.0
male,group B,high school,standard,none,82,77,71,1650,,2023,14.0
male,group D,associate's degree,free/reduced,completed,81,71,70,1651,,2023,16.0
female,group C,some high school,standard,completed,92,100,100,1652,,2023,15.0
male,group B,some college,free/reduced,none,50,48,36,1653,,2023,15.0
female,group B,associate's degree,standard,none,54,60,56,1654,,2023,14.0
male,group C,associate's degree,standard,completed,76,83,78,1655,,2023,14.0
female,group D,some high school,standard,none,60,34,74,1656,,2023,16.0
female,group A,associate's degree,free/reduced,completed,45,72,66,1657,,2023,14.0
male,group D,high school,standard,none,80,77,72,1658,,2023,15.0
male,group D,some high school,free/reduced,none,52,22,48,1659,,2023,16.0
female,group C,high school,standard,completed,90,89,100,1660,,2023,16.0
female,group D,high school,free/reduced,none,53,65,69,1661,,2023,17.0
female,group C,associate's degree,standard,none,92,95,100,1662,,2023,17.0
female,group C,some college,standard,completed,63,78,75,1663,,2023,14.0
female,group B,some high school,standard,none,71,38,79,1664,,2023,14.0
female,group D,some high school,standard,none,64,35,73,1665,,2023,14.0
female,group C,some college,standard,completed,67,81,100,1666,,2023,16.0
male,group C,high school,free/reduced,none,63,63,61,1667,,1990,14.0
male,group B,high school,standard,none,63,53,44,1668,,2023,14.0
male,group C,some high school,standard,none,59,24,46,1669,,2023,14.0
male,group E,high school,standard,none,49,43,35,1670,,2023,17.0
female,group D,master's degree,standard,none,75,84,100,1671,,2023,
